"","society_id","society_name","society_xd_id","language_glottocode","language_name","language_family","variable_id","code","code_label","focal_year","sub_case","comment"
"1","Ad30","Digo","xd99","digo1243","Digo","Atlantic-Congo","EA082",1,"Rounded or semi-cylindrical",1890,"",""
"2","Ae17","Rega","xd135","lega1249","Lega-Shabunda","Atlantic-Congo","EA082",1,"Rounded or semi-cylindrical",1900,"",""
"3","Aj2","Maasi","xd395","masa1300","Masai","Nilotic","EA082",1,"Rounded or semi-cylindrical",1900,"Kisonko or Southern Masai of Tanzania",""
"4","Ca36","Beni-Amer","xd444","mans1267","Mansa'","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1860,"",""
"5","Cb13","Habbaniya","xd462","nort3133","North Kordofan Arabic","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"6","Cb3","Songhai","xd480","koyr1242","Koyraboro Senni Songhai","Songhay","EA082",1,"Rounded or semi-cylindrical",1940,"Bamba division",""
"7","Cc10","Asben","xd488","taya1257","Tayart Tamajeq","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1900,"",""
"8","Cc16","Chaambra","xd494","algi1247","Algiers","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"9","Cc2","Teda","xd498","teda1241","Tedaga","Saharan","EA082",1,"Rounded or semi-cylindrical",1950,"Nomads of Tibesti",""
"10","Cc7","Barabish","xd504","hass1238","Hassaniyya","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1950,"Timbuctoo",""
"11","Cc9","Tuareg Ahaggar","xd506","hogg1238","Hoggar","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1920,"Ahaggaren tribe",""
"12","Cd13","Hamama","xd511","sout3114","South-Western Tunisian","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"13","Cd14","Hamyan","xd512","oran1236","Oran","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1870,"",""
"14","Cd17","Nail","xd515","cons1245","Constantine","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1920,"",""
"15","Cd7","Beraber","xd525","cent2194","Central Moroccan Berber","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1910,"with special reference to the Zemmur tribe",""
"16","Cj10","Madan","xd587","meso1252","Gilit Mesopotamian Arabic","Afro-Asiatic","EA082",1,"Rounded or semi-cylindrical",1950,"with special reference to the village of ech-Chibayish",""
"17","Ed9","Li","xd652","hlai1239","Hlai","Tai-Kadai","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"18","Eg4","Toda","xd680","toda1252","Toda","Dravidian","EA082",1,"Rounded or semi-cylindrical",1900,"Toda Tribe",""
"19","Id11","Gidjingali","xd774","gunn1248","Gun-narda","Maningrida","EA082",1,"Rounded or semi-cylindrical",1950,"",""
"20","Id2","Yolngu, Dhuwal","xd777","dhuw1249","Dhuwal","Pama-Nyungan","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"21","Ie11","Kakoli","xd787","umbu1258","Umbu-Ungu","Nuclear Trans New Guinea","EA082",1,"Rounded or semi-cylindrical",1950,"",""
"23","Ig3","Kurtatchi","xd855","tinp1237","Tinputz","Austronesian","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"24","Ij2","Māori","xd891","maor1246","Maori","Austronesian","EA082",1,"Rounded or semi-cylindrical",1820,"Nga Puhi Tribe",""
"25","Na40","Ottawa","xd1057","otta1242","Ottawa","Algic","EA082",1,"Rounded or semi-cylindrical",1650,"",""
"26","Nc24","Southern Valley Yokuts","xd1123","vall1251","Valley Yokuts","Yokutsan","EA082",1,"Rounded or semi-cylindrical",1860,"Tulare Lake",""
"27","Ng1","Huron","xd1244","wyan1247","Wyandot","Iroquoian","EA082",1,"Rounded or semi-cylindrical",1640,"Bear and Cord Subtribes",""
"28","Ng10","Seneca","xd1245","sene1264","Seneca","Iroquoian","EA082",1,"Rounded or semi-cylindrical",1750,"with special reference to the Seneca tribe",""
"29","Nh19","Cocopa","xd1269","coco1261","Cocopa","Cochimi-Yuman","EA082",1,"Rounded or semi-cylindrical",1850,"",""
"30","Nh21","Mojave","xd1272","moha1256","Mohave","Cochimi-Yuman","EA082",1,"Rounded or semi-cylindrical",1850,"Fort Mohave and Colorado River Reservation",""
"32","Sd2","Tapirapé","xd1354","tapi1254","Tapirapé","Tupian","EA082",1,"Rounded or semi-cylindrical",1930,"",""
"33","Sh2","Terena","xd1389","tere1279","Terena-Kinikinao-Chane","Arawakan","EA082",1,"Rounded or semi-cylindrical",1850,"",""
"34","Si10","Kuikuru","xd1398","kuik1246","Kuikúro-Kalapálo","Cariban","EA082",1,"Rounded or semi-cylindrical",1950,"",""
"35","Si7","Paresi","xd1404","pare1272","Parecís","Arawakan","EA082",1,"Rounded or semi-cylindrical",1910,"with special reference to the Cozarimi",""
"36","Sj3","Aweikoma","xd1411","xokl1240","Xokleng","Nuclear-Macro-Je","EA082",1,"Rounded or semi-cylindrical",1910,"Duque de Caxias Reservation",""
